Comp_OID,Oid_Type,Symbolic_name,CodingSystemName
2.16.840.1.113883.3.4,3,VMDB_OID,
2.16.840.1.113883.3.5,3,aavld,AAVLD Root OID
2.16.840.1.113883.5.18,5,acknowledgementType,Acknowledgement Type
2.16.840.1.113883.5.6,5,actClass,ActClass
2.16.840.1.113883.5.3,5,Act,Act
2.16.840.1.113883.5.4,5,actCode,Act Code
2.16.840.1.113883.5.5,5,ActInterpretation,ActInterpretation
2.16.840.1.113883.5.7,5,actPriority,Act Priority
2.16.840.1.113883.5.8,5,actReason,Act Reason
2.16.840.1.113883.5.10,5,ActRelationshipCheckpoint,ActRelationshipCheckpoint
2.16.840.1.113883.5.11,5,ActRelationshipConjunction,ActRelationshipConjunction
2.16.840.1.113883.5.12,5,ActRelationshipJoin,ActRelationshipJoin
2.16.840.1.113883.5.13,5,ActRelationshipSplit,ActRelationshipSplit
2.16.840.1.113883.5.14,5,ActStatus,ActStatus
2.16.840.1.113883.5.15,5,ActType,ActType
2.16.840.1.113883.5.16,5,addressPartType,Address Part Type
2.16.840.1.113883.5.17,5,AddressUse,AddressUse
2.16.840.1.113883.5.9,5,CalendarCycle,CalendarCycle
2.16.840.1.113883.5.21,5,Charset,Charset
2.16.840.1.113883.5.22,5,CodeSystem,CodeSystem
2.16.840.1.113883.5.24,5,ConceptGenerality,ConceptGenerality
2.16.840.1.113883.5.25,5,confidentiality,Confidentiality
2.16.840.1.113883.5.26,5,containerCap,Container Cap
2.16.840.1.113883.5.27,5,ContainerSeparator,ContainerSeparator
2.16.840.1.113883.5.28,5,Country,Country
2.16.840.1.113883.5.30,5,EntityDeterminer,EntityDeterminer
2.16.840.1.113883.5.31,5,DeviceAlertLevel,DeviceAlertLevel
2.16.840.1.113883.5.32,5,DietService,DietService
2.16.840.1.113883.5.33,5,DocumentCompletion,DocumentCompletion
2.16.840.1.113883.5.34,5,DocumentStorage,DocumentStorage
2.16.840.1.113883.5.35,5,EditStatus,EditStatus
2.16.840.1.113883.5.36,5,EncounterAccident,EncounterAccident
2.16.840.1.113883.5.37,5,EncounterAdmissionSource,EncounterAdmissionSource
2.16.840.1.113883.5.38,5,EncounterAdmissionPriority,EncounterAdmissionPriority
2.16.840.1.113883.5.39,5,EncounterReferralSource,EncounterReferralSource
2.16.840.1.113883.5.40,5,EncounterSpecialCourtesy,EncounterSpecialCourtesy
2.16.840.1.113883.5.41,5,EntityClass,EntityClass
2.16.840.1.113883.5.42,5,EntityHandling,EntityHandling
2.16.840.1.113883.5.43,5,entityNamePartQualifier,Entity Name Part Qualifier
2.16.840.1.113883.5.44,5,entityNamePartType,Entity Name Part Type
2.16.840.1.113883.5.45,5,entityNameUse,Entity Name Use
2.16.840.1.113883.5.46,5,entityRisk,Entity Risk
2.16.840.1.113883.5.47,5,EntityRoleRelationshipType,EntityRoleRelationshipType
2.16.840.1.113883.5.48,5,EntityType,EntityType
2.16.840.1.113883.5.49,5,EquipmentAlertLevel,EquipmentAlertLevel
2.16.840.1.113883.5.50,5,Ethnicity,Ethnicity
2.16.840.1.113883.5.51,5,GenderStatus,GenderStatus
2.16.840.1.113883.5.53,5,HealthcareProviderTaxonomyHIPAA,HealthcareProviderTaxonomyHIPAA
2.16.840.1.113883.5.54,5,HL7CommitteeIDInRIM,HL7CommitteeIDInRIM
2.16.840.1.113883.5.55,5,HL7ConformanceInclusion,HL7ConformanceInclusion
2.16.840.1.113883.5.56,5,HL7DefinedRoseProperty,HL7DefinedRoseProperty
2.16.840.1.113883.5.57,5,HL7UpdateMode,HL7UpdateMode
2.16.840.1.113883.5.58,5,HtmlLinkType,HtmlLinkType
2.16.840.1.113883.5.60,5,languageAbilityMode,Language Ability Mode
2.16.840.1.113883.5.61,5,languageAbilityProficiency,Language Ability Proficiency
2.16.840.1.113883.5.62,5,ListType,ListType
2.16.840.1.113883.5.63,5,LivingArrangement,LivingArrangement
2.16.840.1.113883.5.64,5,LivingSubjectProductionClass,LivingSubjectProductionClass
2.16.840.1.113883.5.65,5,LocalMarkupIgnore,LocalMarkupIgnore
2.16.840.1.113883.5.66,5,LocalRemoteControlState,LocalRemoteControlState
2.16.840.1.113883.5.67,5,MapRelationship,MapRelationship
2.16.840.1.113883.5.69,5,MaterialDanger,MaterialDanger
2.16.840.1.113883.5.70,5,MaterialHandling,MaterialHandling
2.16.840.1.113883.5.71,5,MaterialRelationship,MaterialRelationship
2.16.840.1.113883.5.72,5,MaterialResponsibility,MaterialResponsibility
2.16.840.1.113883.5.73,5,MaterialType,MaterialType
2.16.840.1.113883.5.74,5,MDFAttributeType,MDFAttributeType
2.16.840.1.113883.5.75,5,MdfHmdMetSourceType,MdfHmdMetSourceType
2.16.840.1.113883.5.76,5,MdfHmdRowType,MdfHmdRowType
2.16.840.1.113883.5.77,5,MdfRmimRowType,MdfRmimRowType
2.16.840.1.113883.5.78,5,MDFSubjectAreaPrefix,MDFSubjectAreaPrefix
2.16.840.1.113883.5.79,5,mediaType,Media Type
2.16.840.1.113883.5.80,5,MessageCondition,MessageCondition
2.16.840.1.113883.5.81,5,ModifyIndicator,ModifyIndicator
2.16.840.1.113883.5.83,5,observationInterpretation,Observation Interpretation
2.16.840.1.113883.5.84,5,observationMethod,Observation Method
2.16.840.1.113883.5.85,5,orderableDrugForm,Orderable Drug Form
2.16.840.1.113883.5.87,5,ParameterizedDataType,ParameterizedDataType
2.16.840.1.113883.5.88,5,participationFunction,Participation Function
2.16.840.1.113883.5.89,5,participationSignature,Participation Signature
2.16.840.1.113883.5.90,5,ParticipationType,ParticipationType
2.16.840.1.113883.5.91,5,PaymentTerms,PaymentTerms
2.16.840.1.113883.5.93,5,PersonDisabilityType,PersonDisabilityType
2.16.840.1.113883.5.96,5,PersonNamePurpose,PersonNamePurpose
2.16.840.1.113883.5.98,5,PracticeSetting,PracticeSetting
2.16.840.1.113883.5.100,5,processingID,Processing ID
2.16.840.1.113883.5.101,5,ProcessingMode,ProcessingMode
2.16.840.1.113883.5.102,5,QueryPriority,QueryPriority
2.16.840.1.113883.5.103,5,QueryStatusCode,QueryStatusCode
2.16.840.1.113883.5.104,5,race,Race
2.16.840.1.113883.5.105,5,RelationalOperator,RelationalOperator
2.16.840.1.113883.5.106,5,RelationshipConjunction,RelationshipConjunction
2.16.840.1.113883.5.107,5,RoleLinkType,RoleLinkType
2.16.840.1.113883.5.108,5,ResponseLevel,ResponseLevel
2.16.840.1.113883.5.109,5,responseModality,Response Modality
2.16.840.1.113883.5.110,5,roleClass,Role Class
2.16.840.1.113883.5.111,5,roleCode,Role Code
2.16.840.1.113883.5.112,5,routeOfAdministration,Route Of Administration
2.16.840.1.113883.5.113,5,sequencing,Sequencing
2.16.840.1.113883.5.114,5,Service,Service
2.16.840.1.113883.5.115,5,ParticipationActor,ParticipationActor
2.16.840.1.113883.5.116,5,ServiceActorFunction,ServiceActorFunction
2.16.840.1.113883.5.117,5,ServiceActorSignature,ServiceActorSignature
2.16.840.1.113883.5.118,5,ServiceConfidentiality,ServiceConfidentiality
2.16.840.1.113883.5.119,5,ServiceInterpretation,ServiceInterpretation
2.16.840.1.113883.5.120,5,ServiceListType,ServiceListType
2.16.840.1.113883.5.121,5,ServiceMood,ServiceMood
2.16.840.1.113883.5.122,5,ServicePriority,ServicePriority
2.16.840.1.113883.5.123,5,ServiceRelationshipType,ServiceRelationshipType
2.16.840.1.113883.5.124,5,ServiceRelationshipCheckPoint,ServiceRelationshipCheckPoint
2.16.840.1.113883.5.125,5,ServiceRelationshipConjunction,ServiceRelationshipConjunction
2.16.840.1.113883.5.126,5,ServiceRelationshipJoin,ServiceRelationshipJoin
2.16.840.1.113883.5.127,5,ServiceRelationshipSplit,ServiceRelationshipSplit
2.16.840.1.113883.5.128,5,ServiceTargetType,ServiceTargetType
2.16.840.1.113883.5.129,5,SpecimenType,SpecimenType
2.16.840.1.113883.5.130,5,SupplyService,SupplyService
2.16.840.1.113883.5.131,5,TableCellHorizontalAlign,TableCellHorizontalAlign
2.16.840.1.113883.5.132,5,TableCellScope,TableCellScope
2.16.840.1.113883.5.133,5,TableCellVerticalAlign,TableCellVerticalAlign
2.16.840.1.113883.5.134,5,TableFrame,TableFrame
2.16.840.1.113883.5.135,5,TableRowGroupType,TableRowGroupType
2.16.840.1.113883.5.136,5,TableRules,TableRules
2.16.840.1.113883.5.137,5,TargetAwareness,TargetAwareness
2.16.840.1.113883.5.139,5,TimingEvent,TimingEvent
2.16.840.1.113883.5.140,5,TribalEntityUS,TribalEntityUS
2.16.840.1.113883.5.141,5,UnitsOfMeasure,UnitsOfMeasure
2.16.840.1.113883.5.142,5,UnitsOfMeasureCaseSensitive,UnitsOfMeasureCaseSensitive
2.16.840.1.113883.5.143,5,urlScheme,Universal Resource Locator Scheme
2.16.840.1.113883.5.144,5,VaccineManufacturer,VaccineManufacturer
2.16.840.1.113883.5.145,5,VaccineType,VaccineType
2.16.840.1.113883.5.146,5,ValueSetOperator,ValueSetOperator
2.16.840.1.113883.5.147,5,VocabularyDomainQualifier,VocabularyDomainQualifier
2.16.840.1.113883.3.6,3,Beeler Consulting,
2.16.840.1.113883.3.7,3,sciphox,
2.16.840.1.113883.19,19,Examples Root,
2.16.840.1.113883.10,10,templates,HL7 Registered Templates Root
2.16.840.1.113883.6.21,6,nubc-UB92,NUBC UB92
2.16.840.1.113883.3.8,3,mckesson,
2.16.840.1.113883.2.1,2,hl7UK,HL7 United Kingdom OID Root
2.16.840.1.113883.3.9,3,CICUK,
2.16.840.1.113883.3.10,3,laitek,
1.2.246.777,2,hl7FI,HL7 Finland OID Root
2.16.840.1.113883.2.2,2,hl7Japan,OID Root for HL7 Japan
2.16.840.1.113883.2.3,2,hl7Aus,HL7 Australia OID Root
2.16.840.1.113883.3.11,3,KVeil,
2.16.840.1.113883.6.22,6,pnds,Perioperative Nursing Data Set
2.16.840.1.113883.6.23,6,nmmds,Nursing Management Minimum Data Set
2.16.840.1.113883.6.24,6,mdc,ISO 11073-10101 Health informatics Point-of-care medical device communication - Nomenclature
2.16.840.1.113883.6.25,6,abcCodes,ABCcodes
2.16.840.1.113883.6.26,6,medcin,MEDCIN
2.16.840.1.113883.6.27,6,multum,Multum Lexicon
2.16.840.1.113883.6.28,6,rcFB,The Read Codes Four Byte Set:
2.16.840.1.113883.6.29,6,rcV2,The Read Codes Version 2
2.16.840.1.113883.3.12,3,PentaxMedical,
2.16.840.1.113883.6.30,6,as4,ASTM E1238-E1467
2.16.840.1.113883.6.76,6,ACR,ACR
2.16.840.1.113883.6.77,6,ATC,ATC
2.16.840.1.113883.6.78,6,as4e,AS4E
2.16.840.1.113883.6.79,6,CDS,CDS
2.16.840.1.113883.6.80,6,CE,CE
2.16.840.1.113883.6.81,6,CLP,CLP
2.16.840.1.113883.6.82,6,C5,C5
2.16.840.1.113883.6.83,6,DCL,DCL
2.16.840.1.113883.6.31,6,dicomMDLTY,DICOM modality codes
2.16.840.1.113883.6.32,6,dicomqry,DICOM Query Label
2.16.840.1.113883.6.33,6,ENZC,ENZC
2.16.840.1.113883.6.34,6,euclides,EUCLIDES
2.16.840.1.113883.6.35,6,e5,Euclides  quantity codes
2.16.840.1.113883.6.36,6,e6,Euclides Lab method codes
2.16.840.1.113883.6.37,6,e7,Euclides Lab equipment codes
2.16.840.1.113883.6.38,6,fdk,FDA K10
2.16.840.1.113883.6.39,6,hi,Health Outcomes Institute codes for outcome variables
2.16.840.1.113883.6.40,6,hibccHIN,HIBCC
2.16.840.1.113883.6.41,6,ics,International Classification of Clinical Services
2.16.840.1.113883.6.42,6,icd9,"International Classification of Diseases, Version 9"
2.16.840.1.113883.6.43,6,icd-o,International Classification of Diseases for Oncology:  ICD-O
2.16.840.1.113883.6.44,6,ichppc-2,ICHPPC-2
2.16.840.1.113883.6.45,6,icsd,International Classification of Sleep Disorders
2.16.840.1.113883.6.46,6,iupp,IUPP
2.16.840.1.113883.6.47,6,iupc,IUPAC/IFCC Component Codes
2.16.840.1.113883.6.48,6,JC8,JC8
2.16.840.1.113883.6.49,6,OHA,OHA
2.16.840.1.113883.6.50,6,POS,POS
2.16.840.1.113883.6.51,6,SNM3,SNM3
2.16.840.1.113883.6.52,6,SNT,SNT
2.16.840.1.113883.6.53,6,SDM,SDM
2.16.840.1.113883.6.54,6,UC,UC
2.16.840.1.113883.6.55,6,UPC,UPC
2.16.840.1.113883.6.56,6,UML,UML
2.16.840.1.113883.6.57,6,CDCA,CDCA
2.16.840.1.113883.6.58,6,CDCM,CDCM
2.16.840.1.113883.6.59,6,cvx,CVX
2.16.840.1.113883.6.60,6,mvx,MVX
2.16.840.1.113883.6.61,6,CAS,CAS
2.16.840.1.113883.6.62,6,CST,CST
2.16.840.1.113883.6.63,6,FDDX,FDDX
2.16.840.1.113883.6.64,6,FDDC,FDDC
2.16.840.1.113883.6.65,6,medispanMedicalConditions,Medi-Span Medical Conditions
2.16.840.1.113883.6.66,6,MEDX,MEDX
2.16.840.1.113883.6.67,6,MEDC,MEDC
2.16.840.1.113883.6.68,6,medispanGPI,Medi-Span GPI
2.16.840.1.113883.6.69,6,ndc,National Drug Codes System
2.16.840.1.113883.6.70,6,MEDR,MEDR
2.16.840.1.113883.6.71,6,whoDDDrugCode,WHO Drug Dictionary Drug Code
2.16.840.1.113883.6.72,6,W4,W4
2.16.840.1.113883.6.73,6,whoATC,WHO Anatomical Therapeutic Chemical classification
2.16.840.1.113883.6.74,6,art,ART
2.16.840.1.113883.6.75,6,UMD,UMD
2.16.840.1.113883.5.1050,5,acknowledgementCondition,Acknowledgement Condition
2.16.840.1.113883.5.1051,5,ActInvoiceElementModifier,ActInvoiceElementModifier
2.16.840.1.113883.5.1052,5,actSite,Act Site
2.16.840.1.113883.5.1053,5,actUncertainty,Act Uncertainty
2.16.840.1.113883.5.1054,5,AmericanIndianAlaskaNativeLanguages,AmericanIndianAlaskaNativeLanguages
2.16.840.1.113883.5.1055,5,Calendar,Calendar
2.16.840.1.113883.5.1056,5,CommunicationFunctionType,CommunicationFunctionType
2.16.840.1.113883.5.1057,5,ContextControl,ContextControl
2.16.840.1.113883.5.1058,5,Currency,Currency
2.16.840.1.113883.5.1059,5,EmployeeJobClass,EmployeeJobClass
2.16.840.1.113883.5.1060,5,entityCode,Entity Code
2.16.840.1.113883.5.1061,5,EntityStatus,EntityStatus
2.16.840.1.113883.5.1062,5,ManagedParticipationStatus,ManagedParticipationStatus
2.16.840.1.113883.5.1063,5,observationValue,Observation Value
2.16.840.1.113883.5.1064,5,participationMode,Participation Mode
2.16.840.1.113883.5.1065,5,ProcedureMethod,ProcedureMethod
2.16.840.1.113883.5.1066,5,QueryQuantityUnit,QueryQuantityUnit
2.16.840.1.113883.5.1067,5,queryResponse,QueryResponse
2.16.840.1.113883.5.1068,5,roleStatus,Role Status
2.16.840.1.113883.5.1069,5,SetOperator,SetOperator
2.16.840.1.113883.5.1070,5,substanceAdminSubstitution,Substance Admin Substitution
2.16.840.1.113883.5.1071,5,substitutionCondition,Substitution Condition
2.16.840.1.113883.5.1072,5,UnitOfMeasurePrefix,UnitOfMeasurePrefix
2.16.840.1.113883.5.1073,5,UnitOfMeasurePrefixCaseSensitive,UnitOfMeasurePrefixCaseSensitive
2.16.840.1.113883.6.84,6,IETF1766,IETF1766
2.16.840.1.113883.6.85,6,naics,North American Industry Classification System
2.16.1,6,ISO3166-1,ISO3166-1
2.16.2,6,ISO3166-2,ISO 3166 3 Character country codes
2.16.3,6,ISO3166-3,ISO 3166 Numeric Character country codes
2.16.840.1.113883.5.1074,5,CodingRationale,CodingRationale
2.16.840.1.113883.5.1075,5,PatientImportance,PatientImportance
2.16.840.1.113883.5.1076,5,ReligiousAffiliation,ReligiousAffiliation
2.16.840.1.113883.5.1077,5,EducationLevel,EducationLevel
2.16.840.1.114222.4,3,cdc-PHIN-root,CDC Public Health Information Network Root
2.16.840.1.113883.4.3.57,4,BCE Pilot Project IDs,BCE Pilot Project Identifiers
2.16.840.1.113883.2.5,2,hl7Switzerland,HL7 Switzerland OID Root
2.16.840.1.113883.6.86,6,umls,Unified Medical Language System
2.16.840.1.113883.12.1,12,Administrative sex,Administrative sex
2.16.840.1.113883.12.2,12,Marital status,
2.16.840.1.113883.12.3,12,Event type,
2.16.840.1.113883.12.4,12,Patient class,
2.16.840.1.113883.12.5,12,Race,
2.16.840.1.113883.12.6,12,Religion,
2.16.840.1.113883.12.7,12,Admission type,
2.16.840.1.113883.12.8,12,Acknowledgment code,
2.16.840.1.113883.12.9,12,Ambulatory status,
2.16.840.1.113883.12.10,12,Physician ID,
2.16.840.1.113883.12.17,12,Transaction type,
2.16.840.1.113883.12.18,12,Patient type,
2.16.840.1.113883.12.19,12,Anesthesia code,
2.16.840.1.113883.12.21,12,Bad debt agency code,
2.16.840.1.113883.12.22,12,Billing status,
2.16.840.1.113883.12.23,12,Admit source,
2.16.840.1.113883.12.24,12,Fee schedule,
2.16.840.1.113883.12.27,12,Priority,
2.16.840.1.113883.12.32,12,Charge/price indicator,
2.16.840.1.113883.12.38,12,Order status,
2.16.840.1.113883.12.42,12,Company plan code,
2.16.840.1.113883.12.43,12,Condition code,
2.16.840.1.113883.12.44,12,Contract code,
2.16.840.1.113883.12.45,12,Courtesy code,
2.16.840.1.113883.12.46,12,Credit rating,
2.16.840.1.113883.12.48,12,What subject filter,
2.16.840.1.113883.12.49,12,Department code,
2.16.840.1.113883.12.50,12,Accident code,
2.16.840.1.113883.12.51,12,Diagnosis code,
2.16.840.1.113883.12.52,12,Diagnosis type,
2.16.840.1.113883.12.53,12,Diagnosis coding method,
2.16.840.1.113883.12.55,12,Diagnosis related group,
2.16.840.1.113883.12.56,12,DRG grouper review code,
2.16.840.1.113883.12.59,12,Consent code,
2.16.840.1.113883.12.61,12,Check digit scheme,
2.16.840.1.113883.12.62,12,Event reason,
2.16.840.1.113883.12.63,12,Relationship,
2.16.840.1.113883.12.64,12,Financial class,
2.16.840.1.113883.12.65,12,Specimen action code,
2.16.840.1.113883.12.66,12,Employment status,
2.16.840.1.113883.12.68,12,Guarantor type,
2.16.840.1.113883.12.69,12,Hospital service,
2.16.840.1.113883.12.70,12,Specimen source codes,
2.16.840.1.113883.12.72,12,Insurance plan ID,
2.16.840.1.113883.12.73,12,Interest rate code,
2.16.840.1.113883.12.74,12,Diagnostic service section ID,
2.16.840.1.113883.12.76,12,Message type,
2.16.840.1.113883.12.78,12,Abnormal flags,
2.16.840.1.113883.12.80,12,Nature of abnormal testing,
2.16.840.1.113883.12.83,12,Outlier type,
2.16.840.1.113883.12.84,12,Performed by,
2.16.840.1.113883.12.85,12,Observation result status codes interpretation,
2.16.840.1.113883.12.86,12,Plan ID,
2.16.840.1.113883.12.87,12,Pre-admit test indicator,
2.16.840.1.113883.12.88,12,Procedure Code,
2.16.840.1.113883.12.89,12,Procedure coding method,
2.16.840.1.113883.12.91,12,Query priority,
2.16.840.1.113883.12.92,12,Re-admission indicator,
2.16.840.1.113883.12.93,12,Release information,
2.16.840.1.113883.12.98,12,Type of agreement,
2.16.840.1.113883.12.99,12,VIP indicator,
2.16.840.1.113883.12.100,12,When to charge,
2.16.840.1.113883.12.102,12,Delayed acknowledgment type,
2.16.840.1.113883.12.103,12,Processing ID,
2.16.840.1.113883.12.104,12,Version ID,
2.16.840.1.113883.12.105,12,Source of comment,
2.16.840.1.113883.12.106,12,Query/response format code,
2.16.840.1.113883.12.107,12,Deferred response type,
2.16.840.1.113883.12.108,12,Query results level,
2.16.840.1.113883.12.109,12,Report priority,
2.16.840.1.113883.12.110,12,Transfer to bad debt code,
2.16.840.1.113883.12.111,12,Delete account code,
2.16.840.1.113883.12.112,12,Discharge disposition,
2.16.840.1.113883.12.113,12,Discharged to location,
2.16.840.1.113883.12.114,12,Diet type,
2.16.840.1.113883.12.115,12,Servicing facility,
2.16.840.1.113883.12.116,12,Bed status,
2.16.840.1.113883.12.117,12,Account status,
2.16.840.1.113883.12.118,12,Major diagnostic category,
2.16.840.1.113883.12.119,12,Order Control codes,
2.16.840.1.113883.12.121,12,Response flag,
2.16.840.1.113883.12.122,12,Charge type,
2.16.840.1.113883.12.123,12,Result status,
2.16.840.1.113883.12.124,12,Transportation mode,
2.16.840.1.113883.12.125,12,Value type,
2.16.840.1.113883.12.126,12,Quantity limited request,
2.16.840.1.113883.12.127,12,Allergen type,
2.16.840.1.113883.12.128,12,Allergy severity,
2.16.840.1.113883.12.129,12,Accommodation code,
2.16.840.1.113883.12.130,12,Visit user code,
2.16.840.1.113883.12.131,12,Contact Role,
2.16.840.1.113883.12.132,12,Transaction code,
